num_utenti,metrica,richiesta,valore_medio
40,throughput,total,6.82
40,response_times,search_page,19.1
40,response_times,movie_detail,65.23
40,response_times,total,84.33
40,throughput,search_page,6.67
40,throughput,movie_detail,6.60
40,throughput,total,6.66
40,response_times,search_page,26.2
40,response_times,movie_detail,87.23
40,response_times,total,113.43
40,throughput,search_page,6.83
40,throughput,movie_detail,6.82
40,throughput,total,6.84
60,response_times,search_page,40.53
60,response_times,movie_detail,99.08
60,response_times,total,139.61
60,throughput,search_page,9.73
60,throughput,movie_detail,9.61
60,throughput,total,9.73
60,response_times,search_page,44.23
60,response_times,movie_detail,103.18
60,response_times,total,147.41
60,throughput,search_page,9.62
60,throughput,movie_detail,9.55
60,throughput,total,9.61
60,response_times,search_page,32.97
60,response_times,movie_detail,91.13
60,response_times,total,124.10
60,throughput,search_page,10.6
60,throughput,movie_detail,10
60,throughput,total,10.5
60,response_times,search_page,35.53
60,response_times,movie_detail,96.34
60,response_times,total,131.87
60,throughput,search_page,9.8
60,throughput,movie_detail,9.5
60,throughput,total,9.7
60,response_times,search_page,30.99
60,response_times,movie_detail,83.71
60,response_times,total,114.59
60,throughput,search_page,9.76
60,throughput,movie_detail,9.56
60,throughput,total,9.75
60,response_times,search_page,39.23
60,response_times,movie_detail,103.58
60,response_times,total,142.81
60,throughput,search_page,9.74
60,throughput,movie_detail,9.56
60,throughput,total,9.72
60,response_times,search_page,31.42
60,response_times,movie_detail,80.77
60,response_times,total,112.19
60,throughput,search_page,9.56
60,throughput,movie_detail,9.50
60,throughput,total,9.55
60,response_times,search_page,41.55
60,response_times,movie_detail,96.18
60,response_times,total,137.73
60,throughput,search_page,9.72
60,throughput,movie_detail,9.63
60,throughput,total,9.70
60,response_times,search_page,36.08
60,response_times,movie_detail,97.30
60,response_times,total,133.37
60,throughput,search_page,9.64
60,throughput,movie_detail,9.45
60,throughput,total,9.63
60,response_times,search_page,40.53
60,response_times,movie_detail,99.08
60,response_times,total,139.61
60,throughput,search_page,9.73
60,throughput,movie_detail,9.61
60,throughput,total,9.73
80,response_times,search_page,67.87
80,response_times,movie_detail,128.57
80,response_times,total,196.43
80,throughput,search_page,12.94
80,throughput,movie_detail,12.92
80,throughput,total,12.93
80,response_times,search_page,67.59
80,response_times,movie_detail,139.85
80,response_times,total,207.43
80,throughput,search_page,13.19
80,throughput,movie_detail,13.04
80,throughput,total,13.18
80,response_times,search_page,59.04
80,response_times,movie_detail,124.87
80,response_times,total,183.91
80,throughput,search_page,13.15
80,throughput,movie_detail,12.87
80,throughput,total,13.14
80,response_times,search_page,63.87
80,response_times,movie_detail,140.27
80,response_times,total,204.14
80,throughput,search_page,13.17
80,throughput,movie_detail,12.97
80,throughput,total,13.15
